ProductId,Gender,ColorGroup,ProductType
535337,kadin,beyaz,t-shirt
536260,kadin,bej,t-shirt
536720,kadin,kahverengi,tayt
536776,kadin,kahverengi,tayt
536846,kadin,mavi,t-shirt
537374,kadin,gri,t-shirt
537606,kadin,bordo,t-shirt
538241,kadin,beyaz,sort
538570,kadin,kahverengi,sweatshirt
538815,kadin,mavi,sort
539317,kadin,bej,sort
546836,kadin,yesil,sort
546963,kadin,yesil,atlet
547204,erkek,bordo,mont
547676,kadin,yesil,etek
547934,kadin,bordo,sweatshirt
547936,kadin,yesil,sweatshirt
547937,kadin,mavi,sweatshirt
548319,kadin,lacivert,sweatshirt
548322,kadin,mavi,sweatshirt
548529,kadin,bordo,tayt
548531,kadin,yesil,tayt
548532,kadin,beyaz,tayt
549734,erkek,kahverengi,kazak
552056,kadin,bej,tayt
555509,kadin,siyah,sort
556448,kadin,gri,bra
557876,erkek,beyaz,esofman-takim
558041,erkek,beyaz,atlet
558282,kadin,bej,t-shirt
558284,kadin,bej,sort
558643,erkek,beyaz,sort
558806,kadin,mavi,sort
559007,kadin,mavi,atlet
559011,kadin,lacivert,atlet
559272,kadin,bej,sort
559287,kadin,bej,sort
559332,kadin,gri,sort
559823,erkek,siyah,sort
559998,erkek,kahverengi,sort
561049,unisex,beyaz,esofman-takim
562928,kadin,beyaz,tayt
562953,kadin,beyaz,bra
565315,kadin,bordo,sweatshirt
566097,erkek,bordo,yelek
566173,erkek,gri,kazak
566177,erkek,bordo,kazak
566178,erkek,siyah,kazak
566207,erkek,bordo,kazak
566220,kadin,mavi,kazak
567937,kadin,beyaz,tayt
569029,kadin,bordo,tayt
569474,erkek,bordo,esofman-takim
569568,kadin,yesil,atlet
569748,kadin,bordo,jean-pantolon
569755,kadin,kahverengi,jean-pantolon
570889,kadin,beyaz,tayt
571035,kadin,yesil,bra
571980,kadin,gri,sort
573221,kadin,bej,jean-pantolon
573854,kadin,kahverengi,sort
574029,kadin,kahverengi,etek
574094,erkek,bordo,pantolon
574530,kadin,lacivert,babet
577125,kadin,bordo,tulum
577846,kadin,gri,babet
578304,erkek,bordo,sort
578811,kadin,mavi,tulum
579114,kadin,gri,sort
579115,kadin,kahverengi,sort
579153,kadin,beyaz,bra
581409,erkek,bordo,sort
582207,kadin,gri,sort
582986,kadin,lacivert,zip-ceket
583128,kadin,beyaz,yelek
583541,kadin,mavi,yelek
584188,kadin,bej,tayt
586821,kadin,yesil,babet
587024,kadin,yesil,atlet
589070,erkek,bordo,sweatshirt
589089,erkek,mavi,sweatpant
589329,kadin,bordo,tayt
589791,kadin,bordo,ceket
592052,kadin,lacivert,babet
592054,kadin,mavi,babet
592862,kadin,bordo,sort
